KP_beg,KP_end,symbol,type_id,value,text_shrt,text_long,set_id,desc,colour,range,category_id,date_created,notes,name,column_id_rec,column_id_con,x1,x2,y1,y2
1052859.75,1052864.11,PT,LE,14.7,14.7mm LE,14.7mm Elbow TYPE 22,17,,"[144, 191, 140]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1052864.11,1053080.9,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1053080.9,1053086.29,PT,LE,14.7,14.7mm LE,14.7mm Elbow TYPE 22,17,,"[144, 191, 140]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1053086.29,1053091.04,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1053091.04,1053096.43,PT,LE,14.7,14.7mm LE,14.7mm Elbow TYPE 22,17,,"[144, 191, 140]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1053096.43,1053130.42,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1053130.42,1053135.42,PT,LE,14.7,14.7mm LE,14.7mm Elbow TYPE 22,17,,"[144, 191, 140]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1053135.42,1053143.42,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1053143.42,1053148.42,PT,LE,14.7,14.7mm LE,14.7mm Elbow TYPE 22,17,,"[144, 191, 140]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1053148.42,1053243.82,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1053243.82,1053249.21,PT,LE,14.7,14.7mm LE,14.7mm Elbow TYPE 22,17,,"[144, 191, 140]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1053249.21,1053254.39,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
