X,Y,Z,Distance (meters)
596198.0786,5454454.781,63.87445068,17.75299936
596198.1268,5454454.774,63.88385773,17.80204079
596198.1751,5454454.767,63.89603806,17.85108223
596198.2234,5454454.76,63.90805817,17.90012366
596198.2717,5454454.753,63.91269302,17.9491651
596198.32,5454454.746,63.9296608,17.99820653
596198.3682,5454454.74,63.95058441,18.04724797
596198.4165,5454454.733,63.97399902,18.0962894
596198.4648,5454454.726,64.00126648,18.14533084
596198.5131,5454454.719,64.03142548,18.19437227
596198.5614,5454454.712,64.06271362,18.2434137
596198.6096,5454454.705,64.09013367,18.29245514
596198.6579,5454454.698,64.10072327,18.34149657
596198.7062,5454454.691,64.12613678,18.39053801
596198.7545,5454454.684,64.14897919,18.43957944
596198.8028,5454454.677,64.16912079,18.48862088
596198.851,5454454.67,64.18971252,18.53766231
596198.8993,5454454.663,64.20553589,18.58670375
596198.9476,5454454.656,64.22596741,18.63574518
596198.9959,5454454.649,64.22969818,18.68478662
596199.0442,5454454.642,64.2440033,18.73382805
596199.0924,5454454.635,64.25322723,18.78286949
596199.1407,5454454.628,64.25853729,18.83191092
596199.189,5454454.621,64.26248169,18.88095236
596199.2373,5454454.614,64.26811218,18.92999379
596199.2856,5454454.607,64.26811218,18.97903523
596199.3338,5454454.6,64.26966095,19.02807666
596199.3821,5454454.593,64.27485657,19.07711809
596199.4304,5454454.586,64.27809906,19.12615953
596199.4787,5454454.579,64.28009033,19.17520096
596199.527,5454454.572,64.28443146,19.2242424
596199.5752,5454454.565,64.28560638,19.27328383
596199.6235,5454454.558,64.2876358,19.32232527
596199.6718,5454454.551,64.28496552,19.3713667
596199.7201,5454454.544,64.28382111,19.42040814
596199.7684,5454454.538,64.28025818,19.46944957
596199.8166,5454454.531,64.2797699,19.51849101
596199.8649,5454454.524,64.27797699,19.56753244
596199.9132,5454454.517,64.27548218,19.61657388
596199.9615,5454454.51,64.27346802,19.66561531
596200.0098,5454454.503,64.2566452,19.71465675
596200.058,5454454.496,64.25167847,19.76369818
596200.1063,5454454.489,64.24800873,19.81273961
